•台湾「限制」,#genre#
TVBS 歡樂「LiTV」,https://tv.iill.top/litv/4gtv-4gtv068&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
TVBS 精采「LiTV」,https://tv.iill.top/litv/4gtv-4gtv067&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
TVBS 綜藝「4gTV」,https://tv.iill.top/4gtv/4gtv-live087&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
TVBS 台劇「4gTV」,https://tv.iill.top/4gtv/4gtv-live088&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
中天亞洲「LiTV」,https://tv.iill.top/litv/4gtv-4gtv109&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
中天新聞「LiTV」,https://tv.iill.top/litv/4gtv-4gtv009&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
中視「LiTV」,https://tv.iill.top/litv/4gtv-4gtv040&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
中視新聞「LiTV」,https://tv.iill.top/litv/4gtv-4gtv074&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
中視經典「LiTV」,https://tv.iill.top/litv/4gtv-4gtv080&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
中視菁采「LiTV」,https://tv.iill.top/litv/4gtv-4gtv064&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
靖天國際「LiTV」,https://tv.iill.top/litv/4gtv-4gtv063&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
靖天映畫「LiTV」,https://tv.iill.top/litv/4gtv-4gtv055&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
靖天戲劇「LiTV」,https://tv.iill.top/litv/4gtv-4gtv058&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
靖天日本「LiTV」,https://tv.iill.top/litv/4gtv-4gtv047&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
靖天歡樂「LiTV」,https://tv.iill.top/litv/4gtv-4gtv054&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
靖天綜合「LiTV」,https://tv.iill.top/litv/4gtv-4gtv046&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
靖天育樂「LiTV」,https://tv.iill.top/litv/4gtv-4gtv062&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
靖天資訊「LiTV」,https://tv.iill.top/litv/4gtv-4gtv065&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
靖天電影「LiTV」,https://tv.iill.top/litv/4gtv-4gtv061&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
靖天卡通「LiTV」,https://tv.iill.top/litv/4gtv-4gtv044&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
靖洋卡通「LiTV」,https://tv.iill.top/litv/4gtv-4gtv057&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
靖洋戲劇「LiTV」,https://tv.iill.top/litv/4gtv-4gtv045&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
龍華偶像「LiTV」,https://tv.iill.top/litv/litv-longturn12&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
龍華卡通「LiTV」,https://tv.iill.top/litv/litv-longturn01&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
龍華戲劇「LiTV」,https://tv.iill.top/litv/litv-longturn18&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
龍華日韓「LiTV」,https://tv.iill.top/litv/litv-longturn11&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
龍華洋片「LiTV」,https://tv.iill.top/litv/litv-longturn02&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
龍華經典「LiTV」,https://tv.iill.top/litv/litv-longturn21&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
龍華電影「LiTV」,https://tv.iill.top/litv/litv-longturn03&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
八大精彩「LiTV」,https://tv.iill.top/litv/4gtv-4gtv034&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
八大綜藝「LiTV」,https://tv.iill.top/litv/4gtv-4gtv039&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
台視「LiTV」,https://tv.iill.top/litv/4gtv-4gtv066&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
台視新聞「LiTV」,https://tv.iill.top/litv/4gtv-4gtv051&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
台視財經「LiTV」,https://tv.iill.top/litv/4gtv-4gtv056&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
公視戲劇「LiTV」,https://tv.iill.top/litv/4gtv-4gtv042&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
台灣戲劇「LiTV」,https://tv.iill.top/litv/litv-longturn22&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
寰宇新聞「LiTV」,https://tv.iill.top/litv/litv-longturn14&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
寰宇新聞台灣「LiTV」,https://tv.iill.top/litv/4gtv-4gtv156&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
寰宇財經「LiTV」,https://tv.iill.top/litv/4gtv-4gtv158&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
華視「LiTV」,https://tv.iill.top/litv/4gtv-4gtv041&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
華視新聞「LiTV」,https://tv.iill.top/litv/4gtv-4gtv052&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
民視「LiTV」,https://tv.iill.top/litv/4gtv-4gtv002&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
民視台灣「LiTV」,https://tv.iill.top/litv/4gtv-4gtv001&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
民視影劇「LiTV」,https://tv.iill.top/litv/litv-ftv09&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
民視新聞「LiTV」,https://tv.iill.top/litv/litv-ftv13&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
民視旅遊「LiTV」,https://tv.iill.top/litv/litv-ftv07&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
民視第一「LiTV」,https://tv.iill.top/litv/4gtv-4gtv003&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
民視綜藝「LiTV」,https://tv.iill.top/litv/4gtv-4gtv004&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
三立綜合「4gTV」,https://tv.iill.top/4gtv/4gtv-live207&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
三立新聞iNEWS「4gTV」,https://tv.iill.top/4gtv/4gtv-live089&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
愛爾達娛樂「LiTV」,https://tv.iill.top/litv/4gtv-4gtv070&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
愛爾達生活旅遊「4gTV」,https://tv.iill.top/4gtv/4gtv-live120&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
亞洲旅遊「LiTV」,https://tv.iill.top/litv/4gtv-4gtv076&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
非凡商業「LiTV」,https://tv.iill.top/litv/4gtv-4gtv048&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
非凡新聞「LiTV」,https://tv.iill.top/litv/4gtv-4gtv010&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
鏡電視新聞「LiTV」,https://tv.iill.top/litv/4gtv-4gtv075&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
半島國際新聞「4gTV」,https://tv.iill.top/4gtv/4gtv-live157&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
DW德國之聲「4gTV」,https://tv.iill.top/4gtv/4gtv-live071&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
FRANCE24「4gTV」,https://tv.iill.top/4gtv/4gtv-live146&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
NHK 新聞資訊「4gTV」,https://tv.iill.top/4gtv/4gtv-live168&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
VOA 美國之音「LiTV」,https://tv.iill.top/litv/litv-ftv03&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
CNBC Asia 財經「4gTV」,https://tv.iill.top/4gtv/4gtv-live130&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
SBN 全球財經「4gTV」,https://tv.iill.top/4gtv/4gtv-live060&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
Bloomberg TV「4gTV」,https://tv.iill.top/4gtv/4gtv-live059&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
第1商業「LiTV」,https://tv.iill.top/litv/4gtv-4gtv104&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
AMC 最愛電影「LiTV」,https://tv.iill.top/litv/4gtv-4gtv017&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
MCE 我的歐洲電影「LiTV」,https://tv.iill.top/litv/litv-ftv10&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
影迷數位電影「LiTV」,https://tv.iill.top/litv/4gtv-4gtv011&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
CinemaWorld「4gTV」,https://tv.iill.top/4gtv/4gtv-live069&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
經典電影「4gTV」,https://tv.iill.top/4gtv/4gtv-live021&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
Love Nature「4gTV」,https://tv.iill.top/4gtv/4gtv-live208&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
影迷數位紀實「LiTV」,https://tv.iill.top/litv/litv-ftv15&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
視納華仁紀實頻道「LiTV」,https://tv.iill.top/litv/4gtv-4gtv013&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
CI 罪案偵查頻道「4gTV」,https://tv.iill.top/4gtv/4gtv-live027&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
History 歷史頻道「4gTV」,https://tv.iill.top/4gtv/4gtv-live026&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
MagellanTV (麥哲倫頻道)「4gTV」,https://tv.iill.top/4gtv/4gtv-live123&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
Rock Action「4gTV」,https://tv.iill.top/4gtv/4gtv-live138&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
Rock Entertainment「4gTV」,https://tv.iill.top/4gtv/4gtv-live080&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
Arirang TV「LiTV」,https://tv.iill.top/litv/4gtv-4gtv079&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
韓國娛樂台 KMTV「LiTV」,https://tv.iill.top/litv/4gtv-4gtv016&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
Lifetime 娛樂頻道「4gTV」,https://tv.iill.top/4gtv/4gtv-live029&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
Fun 探索娛樂「4gTV」,https://tv.iill.top/4gtv/4gtv-live011&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
HITS 頻道「4gTV」,https://tv.iill.top/4gtv/4gtv-live620&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
豬哥亮歌廳秀「LiTV」,https://tv.iill.top/litv/4gtv-4gtv006&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
戲劇免費看「4gTV」,https://tv.iill.top/4gtv/4gtv-live010&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
采昌影劇「LiTV」,https://tv.iill.top/litv/4gtv-4gtv049&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
Classica 古典樂「LiTV」,https://tv.iill.top/litv/4gtv-4gtv059&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
Mezzo Live「LiTV」,https://tv.iill.top/litv/4gtv-4gtv083&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
MTV Live 音樂頻道「4gTV」,https://tv.iill.top/4gtv/4gtv-live025&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
電影原聲 CMusic「4gTV」,https://tv.iill.top/4gtv/4gtv-live031&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
Trace Urban「LiTV」,https://tv.iill.top/litv/4gtv-4gtv082&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
Trace Sports「LiTV」,https://tv.iill.top/litv/4gtv-4gtv077&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
Ginx TV 電競頻道「LiTV」,https://tv.iill.top/litv/4gtv-4gtv053&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
DreamWorks 夢工廠動畫「4gTV」,https://tv.iill.top/4gtv/4gtv-live017&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
精選動漫「4gTV」,https://tv.iill.top/4gtv/4gtv-live024&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
經典卡通「4gTV」,https://tv.iill.top/4gtv/4gtv-live022&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
MOMO 親子「4gTV」,https://tv.iill.top/4gtv/4gtv-live107&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
Nick Jr. 兒童頻道「4gTV」,https://tv.iill.top/4gtv/4gtv-live032&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
Nickelodeon「4gTV」,https://tv.iill.top/4gtv/4gtv-live105&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
Pet Club TV「LiTV」,https://tv.iill.top/litv/4gtv-4gtv110&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
LiveABC 互動英語「4gTV」,https://tv.iill.top/4gtv/4gtv-live030&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
ELTA生活英語「LiTV」,https://tv.iill.top/litv/litv-longturn20&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
Smart 知識「LiTV」,https://tv.iill.top/litv/litv-longturn19&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
達文西頻道「LiTV」,https://tv.iill.top/litv/4gtv-4gtv018&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
滾動力 Rollor「4gTV」,https://tv.iill.top/4gtv/4gtv-live012&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
INULTRA「4gTV」,https://tv.iill.top/4gtv/4gtv-live096&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
Global Trekker 探索世界「4gTV」,https://tv.iill.top/4gtv/4gtv-live112&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
LUXE TV「4gTV」,https://tv.iill.top/4gtv/4gtv-live121&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
TV5MONDE Style 生活時尚「4gTV」,https://tv.iill.top/4gtv/4gtv-live122&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
幸福空間居家「4gTV」,https://tv.iill.top/4gtv/4gtv-live206&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
車迷 TV,https://tv.iill.top/4gtv/4gtv-live201&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
金光布袋戲「4gTV」,https://tv.iill.top/4gtv/4gtv-live144&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
霹靂布袋戲「4gTV」,https://tv.iill.top/4gtv/4gtv-live145&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
原住民族電視「4gTV」,https://tv.iill.top/4gtv/4gtv-live014&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
客家電視「LiTV」,https://tv.iill.top/litv/4gtv-4gtv043&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
人間衛視「4gTV」,https://tv.iill.top/4gtv/4gtv-live008&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
新唐人亞太「4gTV」,https://tv.iill.top/4gtv/4gtv-live050&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
國會頻道 1「LiTV」,https://tv.iill.top/litv/4gtv-4gtv084&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
國會頻道 2「LiTV」,https://tv.iill.top/litv/4gtv-4gtv085&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
大愛電視「4gTV」,https://tv.iill.top/4gtv/4gtv-live007&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
大愛電視 2「4gTV」,https://tv.iill.top/4gtv/4gtv-live106&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
好消息「LiTV」,https://tv.iill.top/litv/litv-ftv16&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
好消息 2「LiTV」,https://tv.iill.top/litv/litv-ftv17&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
東森購物 一「4gTV」,https://tv.iill.top/4gtv/4gtv-live047&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
東森購物 二「4gTV」,https://tv.iill.top/4gtv/4gtv-live046&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
東森購物 三「4gTV」,https://tv.iill.top/4gtv/4gtv-live048&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
東森購物 四「4gTV」,https://tv.iill.top/4gtv/4gtv-live049&token=c9e0bc511a08d43881970dbe55e7cc63fc1768067393559bd904c53e1565a831
